N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
570,0.000468521,245.86,0.000253061,0.0989851,13,6917671,15,19,18,18,11,58329,8916537
580,0.000499272,268.771,0.000247863,0.00741414,13,7103563,15,19,18,18,11,59028,9064725
590,0.000486854,266.364,0.000258674,0.0765261,13,7221718,15,19,18,18,11,59413,9154178
600,0.000540845,301.891,0.000249382,0.0226282,13,7372513,15,19,18,18,11,60017,9273801
610,0.000476405,270.141,0.000244675,0.0050933,13,7493073,15,19,18,18,11,60596,9379386
620,0.000468917,269.721,0.000262669,0.160815,13,7603775,15,19,18,18,11,61154,9481400
630,0.000508264,298.382,0.000252705,0.0706134,13,7766081,15,19,18,18,11,61723,9610585
640,0.000494676,293.908,0.00025592,0.042593,13,7862025,15,19,18,18,11,62179,9694909
650,0.000505427,304.833,0.0002578,0.0140783,13,7983078,15,19,18,18,11,62525,9785487
660,0.000468471,285.361,0.000253478,0.0105765,13,8063976,15,19,18,18,11,62791,9847762
670,0.000488055,302.858,0.000250139,0.0154664,13,8220606,15,20,19,19,11,63475,9978343
680,0.000489763,308.729,0.00025167,0.0216211,13,8354920,15,20,19,19,11,63957,10095441
690,0.000487987,313.391,0.000298618,0.128141,13,8516675,15,20,19,19,11,64559,10216669
700,0.000487482,318.314,0.00027299,0.094774,13,8664122,15,20,19,19,11,65037,10332383
710,0.000549786,365.224,0.000252443,0.0223576,13,8819582,15,20,19,19,11,65755,10471341
720,0.00047705,320.387,0.000252752,0.0419092,13,8917888,15,20,19,19,11,66026,10535498
730,0.000495169,337.15,0.000247312,0.00543086,13,9044221,15,20,19,19,11,66516,10638494
740,0.000534089,368.212,0.000263563,0.139735,13,9160875,15,20,19,19,11,66943,10736125
750,0.000493499,344.979,0.000252477,0.0316119,13,9293399,15,20,19,19,11,67566,10858822
760,0.000506486,359.298,0.000249663,0.00452374,13,9435245,15,20,19,19,11,68090,10968235
770,0.000508864,364.623,0.000251232,0.00383066,13,9532053,15,20,19,19,11,68451,11042554
780,0.000518427,376.465,0.000263022,0.0955497,13,9664260,15,20,19,19,11,68930,11145184
790,0.000502309,369.48,0.000254997,0.0505194,13,9792691,15,20,19,19,11,69339,11232790
800,0.000561984,420.695,0.000403185,0.12665,13,9972948,15,20,19,19,11,70012,11366924
810,0.000555478,420.078,0.000466195,0.14346,13,10077247,15,20,19,19,11,70364,11439891
820,0.000524018,401.478,0.000444074,0.138195,13,10212487,15,20,19,19,11,70786,11541954
830,0.000472591,367.229,0.000401681,0.114336,13,10362063,15,20,19,19,12,71258,11651385
840,0.000494185,388.335,0.000411402,0.116338,13,10481329,15,20,19,19,12,71599,11733949
850,0.000526159,419.583,0.000445425,0.170117,13,10640650,15,20,19,19,12,72073,11849458
860,0.000473454,382.739,0.000382936,0.111453,13,10791272,15,20,19,19,12,72534,11949441
870,0.000475356,387.842,0.000394704,0.11873,13,10893725,15,20,19,19,12,72898,12031259
880,0.000491023,405.608,0.000390832,0.150512,13,11033295,15,20,19,19,12,73334,12138165
890,0.000482054,403.005,0.000402282,0.117046,13,11169822,15,20,19,19,12,73760,12237523
900,0.000470462,396.461,0.000439594,0.164902,13,11260788,15,20,19,19,12,74057,12302105
910,0.00049003,419.646,0.000401432,0.124276,13,11451388,15,20,19,19,12,74664,12442549
920,0.000484905,421.065,0.000413534,0.153965,13,11617378,15,20,19,19,12,75236,12559102
930,0.000488082,429.026,0.000413081,0.141947,13,11764159,15,20,19,19,12,75611,12653304
940,0.000539664,479.313,0.000469842,0.166882,13,11889818,15,20,19,19,12,75927,12729038
950,0.000516097,462.32,0.0004179,0.159651,13,11994016,15,20,19,19,12,76233,12804268
960,0.000495179,448.488,0.000673219,4.19079,13,12130590,15,20,19,19,12,76613,12885612
970,0.000503348,459.697,0.000434347,0.146197,13,12233505,15,20,19,19,12,76904,12952964
980,0.000487062,452.603,0.000459652,0.156744,13,12455253,15,20,19,19,12,77441,13098608
990,0.000495569,466.406,0.000420778,0.179661,13,12620448,15,20,19,19,12,77917,13220235
1000,0.000472951,449.651,0.00041615,0.125907,13,12751819,15,20,19,19,12,78242,13300232
