N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
570,0.00147754,743.432,0.00123649,0.0132453,13,6655287,15,20,19,19,10,58158,8764226
580,0.00147638,756.364,0.00123523,0.00182962,13,6779380,15,20,19,19,10,58616,8859053
590,0.00148131,769.331,0.00123669,0.0145601,13,6873583,15,20,19,19,10,58910,8929946
600,0.00147804,781.056,0.00123598,0.00470576,13,6997418,15,20,19,19,10,59443,9032982
610,0.0014834,798.617,0.00124267,0.0251739,13,7133228,15,20,19,19,10,59999,9143322
620,0.00148325,815.093,0.00123873,0.00183116,13,7285974,15,20,19,19,10,60614,9270187
630,0.00148146,828.916,0.00124252,0.0224337,13,7422081,15,20,19,19,10,61224,9393394
640,0.00148465,846.377,0.00124093,0.00184734,13,7566306,15,20,19,19,10,61811,9522435
650,0.00148349,860.062,0.00124356,0.00195266,13,7699517,15,20,19,19,10,62488,9654847
660,0.00148715,880.847,0.0012422,0.00186466,13,7871780,15,20,19,19,10,63181,9803236
670,0.00148973,894.259,0.0012464,0.00180186,13,7980088,15,20,19,19,10,63583,9890433
680,0.00148526,904.515,0.00124551,0.001896,13,8098841,15,20,19,19,10,64043,9976916
690,0.00150917,929.103,0.00124729,0.00217126,13,8188133,15,20,19,19,10,64295,10041796
700,0.00148653,936.341,0.0012492,0.00183842,13,8384146,15,20,19,19,10,65131,10202593
710,0.00149183,959.523,0.00125024,0.00189944,13,8567412,15,20,19,19,10,65889,10348111
720,0.001486,969.807,0.00125458,0.0237107,13,8696531,15,20,19,19,10,66303,10458597
730,0.00149075,984.394,0.00125109,0.00217864,13,8800858,15,20,19,19,10,66691,10539803
740,0.00149344,996.195,0.00124834,0.0312732,13,8891610,15,20,19,19,10,66954,10611626
750,0.00152197,1030.57,0.00125472,0.00192518,13,9030969,15,20,19,19,10,67609,10736950
760,0.00148979,1022.97,0.00125413,0.0268131,13,9161073,15,20,19,19,10,68078,10836049
770,0.00151359,1056.03,0.00125351,0.00186884,13,9313498,15,20,19,19,10,68690,10966566
780,0.00148875,1049.55,0.00125644,0.0019649,13,9413021,15,20,19,19,10,69007,11041454
790,0.001492,1066.81,0.00125647,0.0224856,13,9549848,15,20,19,19,10,69417,11136066
800,0.00149132,1079.99,0.00149785,0.010411,13,9674754,15,20,19,19,10,69913,11235885
810,0.00148871,1094.46,0.00146895,0.026175,13,9826444,15,20,19,19,10,70485,11345676
820,0.00149374,1110.84,0.00147153,0.007104,13,9941801,15,20,19,19,10,70806,11418305
830,0.00149626,1123.9,0.00147579,0.012295,13,10042938,15,20,19,19,10,71105,11492687
840,0.00149453,1136.55,0.00150824,0.011174,13,10171295,15,20,19,19,10,71508,11587107
850,0.00149385,1148.96,0.00147576,0.029424,13,10290038,15,20,19,19,10,71969,11680653
860,0.00149647,1164.26,0.00147413,0.007827,13,10411683,15,20,19,19,10,72382,11764237
870,0.00149913,1189.31,0.00150273,0.01704,13,10626630,15,20,19,19,10,73250,11940079
880,0.00149549,1198.72,0.00147783,0.007701,13,10738787,15,20,19,19,10,73543,12021314
890,0.00148878,1204.98,0.00147205,0.008719,13,10845746,15,20,19,19,10,73924,12096720
900,0.00149426,1224.96,0.00151311,0.007677,13,10988822,15,20,19,19,10,74403,12209590
910,0.00149365,1242.01,0.00150291,0.006766,13,11151041,15,20,19,19,10,74906,12322488
920,0.00149288,1253.48,0.0015064,0.019407,13,11262816,15,20,19,19,10,75264,12402382
930,0.00149856,1271.93,0.00164136,1.05132,13,11388522,15,20,19,19,10,75615,12495871
940,0.00149742,1292.62,0.00150917,0.026613,13,11588652,15,20,19,19,10,76114,12629229
950,0.00149883,1310.58,0.00149003,0.014927,13,11742688,15,20,19,19,10,76538,12731851
960,0.00149252,1318.83,0.00147829,0.020101,13,11869594,15,20,19,19,10,76933,12815526
970,0.00149561,1332.44,0.00147922,0.014533,13,11968646,15,20,19,19,10,77166,12870967
980,0.00149472,1342.42,0.00151124,0.015111,13,12066642,15,20,19,19,10,77451,12936190
990,0.00149874,1355.07,0.00148409,0.019679,13,12148551,15,20,19,19,10,77637,12984668
1000,0.00149867,1366.52,0.00148504,0.006841,13,12253043,15,20,19,19,10,77875,13044790
1010,0.00149633,1376.75,0.00148445,0.006955,13,12366556,15,20,19,19,10,78251,13122266
1020,0.00149421,1389.23,0.00153205,0.01616,13,12499397,15,20,19,19,10,78592,13205060
1030,0.00149835,1407.27,0.00148346,0.014359,13,12630749,15,20,19,19,10,78981,13332645
1040,0.00149934,1421.21,0.00149477,0.007183,13,12750223,15,20,19,19,10,79367,13423536
1050,0.0014967,1438.46,0.00151867,0.018444,13,12934642,15,20,19,19,10,80034,13583423
1060,0.00151749,1475.19,0.00152567,0.025189,13,13087671,15,20,19,19,10,80388,13694657
1070,0.00150002,1473.26,0.00148392,0.015968,13,13226486,15,20,19,19,10,80799,13796914
1080,0.00149318,1485.06,0.00149399,0.015607,13,13399566,15,20,19,19,10,81273,13914113
1090,0.00149255,1500.95,0.00151834,0.025958,13,13553335,15,20,19,19,10,81666,14023698
1100,0.00150154,1525.12,0.0015208,0.021565,13,13693730,15,20,19,19,10,82212,14139438
1110,0.00149982,1540.14,0.00152709,0.027693,13,13849005,15,20,19,19,10,82626,14258299
1120,0.00150192,1555.15,0.00151914,0.025541,13,13966442,15,20,19,19,10,82953,14322149
1130,0.00149936,1565.41,0.00152346,0.018872,13,14085104,15,20,19,19,10,83252,14414007
1140,0.00150137,1581.82,0.00149626,0.017685,13,14215607,15,20,19,19,10,83482,14481009
1150,0.00149934,1593.78,0.00148919,0.012321,13,14344799,15,20,19,19,10,83746,14568196
1160,0.00149767,1605.55,0.00149529,0.013784,13,14468926,15,20,19,19,10,84137,14670843
1170,0.00149945,1617.41,0.00149758,0.019336,13,14559735,15,20,19,19,10,84403,14741759
1180,0.00149786,1626.31,0.00150652,0.024693,13,14656954,15,20,19,19,10,84638,14794260
1190,0.00149686,1639.09,0.00153052,0.027357,13,14784865,15,20,19,19,10,84913,14863662
1200,0.00150627,1664.11,0.00153008,0.026382,13,14919463,15,20,19,19,10,85285,14968651
1210,0.00149973,1669.52,0.00153533,0.020966,13,15035139,15,20,19,19,10,85488,15037837
1220,0.00150145,1685.9,0.00152741,0.026605,13,15168807,15,21,20,20,10,85851,15131078
1230,0.00150383,1703.31,0.00153421,0.025637,13,15304143,15,21,20,20,10,86254,15239000
1240,0.00150078,1714.56,0.00153335,0.015093,13,15441047,15,21,20,20,10,86655,15335588
1250,0.00153352,1768.25,0.00150725,0.01311,13,15588823,15,21,20,20,10,87098,15437496
1260,0.00150655,1752.91,0.00150796,0.025799,13,15735100,15,21,20,20,10,87501,15546097
1270,0.00150502,1770.4,0.00153613,0.014028,13,15912155,15,21,20,20,10,87844,15646653
1280,0.00154722,1841.3,0.00150424,0.01713,13,16103969,15,21,20,20,10,88232,15775414
1290,0.00150598,1809.05,0.00151694,0.010934,13,16259651,15,21,20,20,10,88648,15888668
1300,0.00150138,1820.97,0.00150421,0.011535,13,16421655,15,21,20,20,10,89127,15997772
1310,0.00150441,1838.65,0.00151102,0.018885,13,16551282,15,21,20,20,10,89450,16090323
1320,0.00150651,1854.81,0.00154532,0.028574,13,16674956,15,21,20,20,10,89697,16167507
1330,0.0015034,1862.47,0.00154159,0.023385,13,16779066,15,21,20,20,10,89918,16222600
1340,0.00150134,1877.15,0.00150811,0.007208,13,16940169,15,21,20,20,10,90432,16329211
1350,0.00150767,1900.58,0.0015117,0.01706,13,17082841,15,21,20,20,11,90732,16415238
1360,0.00150677,1912.68,0.00154357,0.016609,13,17204533,15,21,20,20,11,91033,16494812
1370,0.00150777,1925.91,0.00155212,0.023208,13,17314153,15,21,20,20,11,91416,16584417
1380,0.00150111,1933.13,0.00158215,0.559938,13,17458933,15,21,20,20,11,91691,16680045
1390,0.00151085,1961.89,0.0015186,0.020172,13,17608935,15,21,20,20,11,92089,16768586
1400,0.00149477,1952.23,0.00153967,0.015904,13,17712452,15,21,20,20,11,92366,16846777
1410,0.00150462,1984.23,0.0015113,0.015098,13,17891427,15,21,20,20,11,92978,16976910
1420,0.00150615,1999.82,0.00154256,0.026647,13,18015847,15,21,20,20,11,93246,17084478
1430,0.00151382,2034.16,0.00151881,0.019185,13,18240958,16,21,20,20,11,93994,17259017
1440,0.00150858,2041.16,0.00154255,0.01179,13,18369827,16,21,20,20,11,94284,17342453
1450,0.00151118,2056.29,0.00152107,0.014444,13,18476379,16,21,20,20,11,94582,17420229
1460,0.00151687,2078.98,0.00154973,0.021224,13,18612670,16,21,20,20,11,94797,17503530
1470,0.00150991,2082.46,0.00155303,0.018945,13,18732207,16,21,20,20,11,95059,17583697
1480,0.00150832,2093.97,0.00155268,0.01533,13,18858837,16,21,20,20,11,95371,17659893
1490,0.00151161,2112.55,0.00152297,0.015794,13,18987364,16,21,20,20,11,95732,17750238
1500,0.0015125,2130.13,0.00155259,0.027797,13,19137606,16,21,20,20,11,96083,17852187
1510,0.00151368,2143.54,0.00153868,0.017729,13,19243887,16,21,20,20,11,96250,17909544
1520,0.00151108,2153.85,0.00151911,0.019854,13,19372438,16,21,20,20,11,96475,17992129
1530,0.00150832,2159.8,0.00155288,0.023277,13,19462345,16,21,20,20,11,96680,18046539
1540,0.00150812,2174.07,0.00155202,0.016365,13,19596184,16,21,20,20,11,96882,18121774
1550,0.00151589,2200.2,0.00154265,0.007591,13,19733577,16,21,20,20,11,97169,18192503
1560,0.00150856,2206.91,0.00152278,0.024009,13,19893822,16,21,20,20,11,97573,18296903
1570,0.00150772,2221.31,0.00152521,0.015545,13,20038282,16,21,20,20,11,97877,18377344
1580,0.00151228,2243.21,0.0015307,0.017449,13,20178896,16,21,20,20,11,98303,18479656
1590,0.00150684,2245.94,0.00155651,0.014888,13,20277355,16,21,20,20,11,98467,18537812
1600,0.00151022,2267.31,0.00152937,0.019886,13,20428002,16,21,20,20,11,98762,18623179
1610,0.00151243,2282.5,0.00155894,0.019828,13,20536249,16,21,20,20,11,98991,18692006
1620,0.00150885,2293.39,0.00154641,0.028377,13,20688001,16,21,20,20,11,99486,18798166
1630,0.00150641,2306.43,0.0015661,0.012589,13,20842988,16,21,20,20,11,99824,18888777
1640,0.00151326,2331.12,0.00155907,0.01056,13,20973381,16,21,20,20,11,100082,18970669
1650,0.0015112,2339.5,0.00153639,0.014924,13,21078725,16,21,20,20,11,100278,19035401
1660,0.00151246,2357.2,0.00155724,0.029858,13,21225300,16,21,20,20,11,100578,19123691
1670,0.00151094,2371.48,0.00156345,0.021925,13,21379957,16,21,20,20,11,100883,19216553
1680,0.0015072,2377.74,0.00155204,0.027846,13,21492075,16,21,20,20,11,101233,19292717
1690,0.00151123,2399.55,0.00153662,0.017161,13,21633984,16,21,20,20,11,101465,19365843
1700,0.00151322,2415.31,0.00155811,0.031015,13,21749335,16,21,20,20,11,101755,19447216
1710,0.00150828,2422.83,0.00153249,0.015382,13,21891318,16,21,20,20,11,101986,19520756
1720,0.00150962,2436.21,0.00154126,0.013217,13,21994596,16,21,20,20,11,102197,19579927
1730,0.00150721,2446.43,0.00153413,0.007683,13,22125074,16,21,20,20,11,102441,19663340
1740,0.00150733,2456.54,0.00155563,0.008636,13,22215564,16,21,20,20,11,102571,19699269
1750,0.00150581,2464.67,0.00154042,0.016413,13,22312391,16,21,20,20,11,102732,19752410
1760,0.00150906,2482.65,0.00156081,0.012206,13,22429090,16,21,20,20,11,102938,19812865
1770,0.00151792,2512.57,0.0015595,0.021997,13,22569945,16,21,20,20,11,103190,19889900
1780,0.00149929,2495.98,0.00156769,0.025933,13,22702655,16,21,20,20,11,103417,19971023
1790,0.00150529,2517.92,0.00153772,0.021369,13,22812660,16,21,20,20,11,103611,20041967
1800,0.00150558,2529.14,0.00152891,0.033995,13,22912037,16,21,20,20,11,103814,20106010
1810,0.00150885,2549.03,0.00153404,0.017391,13,23045814,16,21,20,20,11,104076,20189668
1820,0.00150487,2558.88,0.00156439,0.02829,13,23200625,16,21,20,20,11,104467,20298505
1830,0.00150574,2576.3,0.00157031,0.016864,13,23348023,16,21,20,20,11,104739,20387672
1840,0.00150907,2595.34,0.00153418,0.016333,13,23471719,16,21,20,20,11,104974,20454941
1850,0.00150182,2596.27,0.00157906,0.015111,13,23596683,16,21,20,20,11,105306,20530868
1860,0.00150299,2615.86,0.00156205,0.019671,13,23761162,16,21,20,20,11,105626,20627323
1870,0.00150681,2637.57,0.00153621,0.027677,13,23900731,16,21,20,20,11,105953,20717671
1880,0.00150807,2654.4,0.00154027,0.012717,13,24036968,16,21,20,20,11,106314,20808780
1890,0.00150759,2663.81,0.00154078,0.015812,13,24130047,16,21,20,20,11,106462,20869636
